indicator	type	source	first_seen	last_seen	confidence	tlp	tags	reference	context
199[.]16[.]110[.]42	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]195[.]248[.]168	ipv4	tor_exit_nodes	2026-05-05T08:59:57Z	2026-05-05T08:59:57Z	low	CLEAR	blocklist,exit-node,tor	https://check.torproject.org/	Blocklist entry from tor_exit_nodes
199[.]195[.]248[.]228	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]195[.]251[.]119	ipv4	tor_exit_nodes	2026-05-05T08:59:57Z	2026-05-05T08:59:57Z	low	CLEAR	blocklist,exit-node,tor	https://check.torproject.org/	Blocklist entry from tor_exit_nodes
199[.]195[.]251[.]160	ipv4	ci_army_list,greensnow_blocklist	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,greensnow,scanner	https://greensnow.co/	Blocklist entry from greensnow_blocklist
199[.]195[.]253[.]124	ipv4	tor_exit_nodes	2026-05-05T08:59:57Z	2026-05-05T08:59:57Z	low	CLEAR	blocklist,exit-node,tor	https://check.torproject.org/	Blocklist entry from tor_exit_nodes
199[.]195[.]253[.]156	ipv4	tor_exit_nodes	2026-05-05T08:59:57Z	2026-05-05T08:59:57Z	low	CLEAR	blocklist,exit-node,tor	https://check.torproject.org/	Blocklist entry from tor_exit_nodes
199[.]195[.]253[.]180	ipv4	tor_exit_nodes	2026-05-05T08:59:57Z	2026-05-05T08:59:57Z	low	CLEAR	blocklist,exit-node,tor	https://check.torproject.org/	Blocklist entry from tor_exit_nodes
199[.]195[.]254[.]151	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]195[.]254[.]215	ipv4	blocklist_de_ssh,greensnow_blocklist	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,greensnow,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]203[.]54[.]15	ipv4	greensnow_blocklist	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,greensnow	https://greensnow.co/	Blocklist entry from greensnow_blocklist
199[.]21[.]150[.]105	ipv4	blocklist_de_ssh,greensnow_blocklist	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,greensnow,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]231[.]163[.]19	ipv4	blocklist_de_ssh,greensnow_blocklist	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,greensnow,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]253[.]29[.]120	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
199[.]30[.]66[.]34	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
199[.]45[.]154[.]112	ipv4	blocklist_de_ssh	2026-05-05T08:59:55Z	2026-05-05T08:59:55Z	medium	CLEAR	blocklist,bruteforce,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
