indicator	type	source	first_seen	last_seen	confidence	tlp	tags	reference	context
1[.]197[.]102[.]62	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
1[.]197[.]73[.]214	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
1[.]199[.]41[.]47	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
1[.]202[.]193[.]22	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
1[.]20[.]172[.]68	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
1[.]212[.]225[.]99	ipv4	greensnow_blocklist	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,greensnow	https://greensnow.co/	Blocklist entry from greensnow_blocklist
1[.]214[.]117[.]218	ipv4	blocklist_de_ssh,greensnow_blocklist	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,greensnow,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
1[.]214[.]197[.]163	ipv4	blocklist_de_ssh,greensnow_blocklist	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,greensnow,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
1[.]214[.]255[.]210	ipv4	blocklist_de_ssh,greensnow_blocklist	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,greensnow,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
1[.]214[.]42[.]172	ipv4	blocklist_de_ssh,greensnow_blocklist	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,greensnow,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
1[.]215[.]138[.]43	ipv4	greensnow_blocklist	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,greensnow	https://greensnow.co/	Blocklist entry from greensnow_blocklist
1[.]222[.]42[.]237	ipv4	blocklist_de_ssh,greensnow_blocklist	2026-05-05T08:59:55Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,bruteforce,greensnow,ssh	https://www.blocklist.de/en/	Blocklist entry from blocklist_de_ssh
1[.]225[.]62[.]211	ipv4	ci_army_list	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,cins,scanner	https://cinsscore.com/	Blocklist entry from ci_army_list
1[.]22[.]114[.]164	ipv4	greensnow_blocklist	2026-05-05T08:59:56Z	2026-05-05T08:59:56Z	medium	CLEAR	blocklist,greensnow	https://greensnow.co/	Blocklist entry from greensnow_blocklist
